ID	Year	Source	MST-14	MST-24	MST-33	MST-80	MST-99	MST-108	MST-145	MST-219	MST-272	MST-314
SRR7874379	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7874558	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7876486	2018	Human	singleton_52	singleton_35	singleton_31	cluster_23	cluster_16	cluster_13	cluster_8	cluster_3	cluster_1	cluster_1
SRR7888706	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7888715	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7888879	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7888910	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7888927	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7889003	2018	Human	singleton_47	singleton_31	singleton_27	cluster_23	cluster_16	cluster_13	cluster_8	cluster_3	cluster_1	cluster_1
SRR7889004	2018	Human	singleton_343	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7906225	2018	Human	singleton_152	singleton_113	singleton_90	cluster_23	cluster_16	cluster_13	cluster_8	cluster_3	cluster_1	cluster_1
SRR7906567	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7906720	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7906727	2018	Human	singleton_173	singleton_134	singleton_107	cluster_23	cluster_16	cluster_13	cluster_8	cluster_3	cluster_1	cluster_1
SRR7958624	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7958641	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7958673	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7958676	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7958775	2018	Human	singleton_50	singleton_34	singleton_30	cluster_23	cluster_16	cluster_13	cluster_8	cluster_3	cluster_1	cluster_1
SRR7965087	2018	Human	singleton_499	singleton_318	singleton_247	cluster_20	cluster_14	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR7994276	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8003724	2018	Human	cluster_72	cluster_47	cluster_55	cluster_13	cluster_9	cluster_8	cluster_3	cluster_2	cluster_2	cluster_1
SRR8030266	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8053888	2018	Human	cluster_34	cluster_35	cluster_47	cluster_9	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8054170	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8054193	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8054277	2018	Human	cluster_34	cluster_35	cluster_47	cluster_9	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8054281	2018	Human	singleton_582	singleton_394	cluster_75	cluster_25	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8054469	2018	Human	singleton_128	cluster_19	cluster_23	cluster_18	cluster_12	cluster_10	cluster_5	cluster_3	cluster_1	cluster_1
SRR8058195	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8062566	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8062574	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8069408	2018	Human	cluster_74	cluster_48	cluster_57	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8069428	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8069577	2018	Human	singleton_522	singleton_341	singleton_268	cluster_21	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8083672	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8102376	2018	Human	cluster_85	cluster_58	cluster_68	cluster_24	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
SRR8121347	2018	Human	singleton_340	singleton_262	singleton_213	cluster_21	cluster_17	cluster_14	cluster_9	cluster_4	cluster_2	cluster_1
