ID	Year	Source	MST-14	MST-57	MST-69	MST-78	MST-95	MST-127	MST-152	MST-172	MST-336	MST-348
SRR10126617	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10131188	2019	Human	singleton_184	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10135936	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10138335	2019	Human	cluster_129	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10152444	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10153950	2019	Bovine	cluster_129	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10155170	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10155174	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10155176	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10155179	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10155181	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10155182	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10155184	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10159676	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10164593	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10165306	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10165308	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10165309	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10165346	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10166181	2019	Bovine	cluster_24	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10166337	2019	Human	cluster_62	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10174360	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10176078	2019	Human	cluster_129	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10178617	2019	Human	cluster_108	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10186809	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10192710	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10211644	2019	Human	singleton_45	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10218548	2019	Bovine	cluster_131	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10222526	2019	Bovine	cluster_132	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10222529	2019	Bovine	cluster_120	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10222530	2019	Bovine	cluster_120	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10222567	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10222602	2019	Bovine	cluster_132	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10222641	2019	Bovine	cluster_129	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
